Governo Federal 2018, Poder Executivo por Órgão Superior e UO;;;;;;;;;;
;;;;;;;;;;
Filtro do relatório:;;;;;;;;;;
({Esfera Orçamentária} = 1:ORCAMENTO FISCAL, 2:ORCAMENTO DE SEGURIDADE SOCIAL) E ({Mês Lançamento} = 014/2018) E ({Item Informação} = DOTACAO INICIAL, DOTACAO ATUALIZADA, DESPESAS EMPENHADAS, DESPESAS LIQUIDADAS, DESPESAS INSCRITAS EM RP NAO PROCESSADOS, DESPESAS PAGAS) E ({UO - Poder} = 0:PODER EXECUTIVO);;;;;;;;;;
;;;;;;;;;;
Páginas:;;;;;;;;;;
Mês Lançamento: 014/2018;;;;;;;;;;
Métrica: Saldo - R$ (Item Informação);;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
UO - Órgão Superior;;Unidade Orçamentária;;Item Informação;9;13;23;25;27;28
 ;; ;; ;DOTACAO INICIAL;DOTACAO ATUALIZADA;DESPESAS EMPENHADAS;DESPESAS LIQUIDADAS;DESPESAS INSCRITAS EM RP NAO PROCESSADOS;DESPESAS PAGAS
25000;MINISTERIO DA ECONOMIA;25903;FUNDO DE COMPENSACAO E VARIACOES SALARIAIS;;1.075.087.572,00;1.075.087.572,00;1.075.087.572,00;409.934.506,47;665.153.065,53;409.851.201,63
25000;MINISTERIO DA ECONOMIA;25913;FUNDO ESPECIAL DE TREINAM. E DESENVOLVIMENTO;;24.926.842,00;24.419.434,00;23.976.957,13;20.106.914,32;3.870.042,81;18.662.781,06
25000;MINISTERIO DA ECONOMIA;71101;RECURSOS SOB SUPERVISAO DO MF - EFU;;16.043.936.883,00;21.023.855.036,00;19.013.127.281,18;16.533.566.405,93;2.479.560.875,25;16.533.566.405,93
25000;MINISTERIO DA ECONOMIA;71104;REMUN.DE AGENTES FINANC. - REC.SOB SUPERV./MF;;777.779.070,00;752.099.668,00;752.099.664,47;639.348.449,72;112.751.214,75;639.338.144,67
25000;MINISTERIO DA ECONOMIA;71901;FUNDO CONTINGENTE DA EXTINTA RFFSA;;283.660.199,00;282.760.199,00;1.403.951,55;1.403.951,55;;1.403.951,55
25000;MINISTERIO DA ECONOMIA;71902;FUNDO SOBERANO DO BRASIL;;1.756.785.059,00;1.756.335.059,00;28.676,52;28.676,52;;28.676,52
25000;MINISTERIO DA ECONOMIA;71905;FUNDO DE GARANTIA A EXPORTACAO - FGE;;2.437.342.530,00;4.335.342.530,00;2.021.981.281,43;1.365.662.857,43;656.318.424,00;1.365.662.857,43
25000;MINISTERIO DA ECONOMIA;73101;RECURSOS SOB SUPERVISAO DO MF - TRF.MF;;1.580.812.000,00;1.578.812.000,00;1.568.811.999,63;1.531.998.164,24;36.813.835,39;1.531.998.164,24
25000;MINISTERIO DA ECONOMIA;73108;TRANSF.CONSTITUCIONAIS-REC.SOB SUP. M.FAZENDA;;194.998.330.605,00;199.532.916.630,00;198.644.997.005,78;193.120.232.026,73;5.524.764.979,05;193.120.232.026,73
25000;MINISTERIO DA ECONOMIA;73901;FUNDO CONSTITUCIONAL DO DISTRITO FEDERAL-FCDF;;13.696.991.938,00;13.691.017.785,00;13.690.679.062,98;13.461.625.200,24;229.053.862,74;13.437.520.183,76
25000;MINISTERIO DA ECONOMIA;74101;RECURSOS SOB SUPERVISAO DO MF - OOC/MF;;17.833.481.600,00;13.816.619.745,00;11.702.420.214,39;6.896.515.842,00;4.805.904.372,39;6.894.485.007,67
25000;MINISTERIO DA ECONOMIA;74102;RECURSOS SOB SUPERVISAO DO MINIST.DA FAZENDA;;100.000.000,00;100.000.000,00;50.000.000,00;43.479.510,00;6.520.490,00;43.479.510,00
25000;MINISTERIO DA ECONOMIA;74201;RECURSOS SOB SUPER.DA SUP.DE SEGUROS PRIVADOS;;4.600.000,00;4.600.000,00;2.016.465,60;2.016.465,60;;2.016.465,60
25000;MINISTERIO DA ECONOMIA;75101;RECURSOS SOB SUPERVISAO DO MINIST. DA FAZENDA;;1.776.306.221.769,00;1.776.106.221.769,00;1.063.832.677.552,50;1.063.832.177.552,50;500.000,00;1.063.824.641.195,70
25000;MINISTERIO DA ECONOMIA;90000;RESERVA DE CONTINGENCIA;;2.479.157.182,00;495.525.457,00;;;;
26000;MINISTERIO DA EDUCACAO;26101;MINISTERIO DA EDUCACAO;;3.774.037.203,00;3.295.731.567,00;2.684.687.361,86;1.799.646.964,19;885.040.397,67;1.706.457.659,49
26000;MINISTERIO DA EDUCACAO;26104;INSTITUTO NACIONAL DE EDUCACAO DE SURDOS;;141.163.113,00;146.147.318,00;144.620.079,53;130.625.019,36;13.995.060,17;122.191.772,88
26000;MINISTERIO DA EDUCACAO;26105;INSTITUTO BENJAMIN CONSTANT;;90.316.266,00;95.277.988,00;93.500.652,59;86.032.544,81;7.468.107,78;80.122.667,20
26000;MINISTERIO DA EDUCACAO;26201;COLEGIO PEDRO II;;656.882.331,00;696.650.224,00;684.682.595,44;660.647.492,67;24.035.102,77;610.965.792,19
26000;MINISTERIO DA EDUCACAO;26230;FUND. UNIVERSIDADE FEDERAL VALE SAO FRANCISCO;;170.722.674,00;191.024.172,00;184.875.431,30;181.900.430,31;2.975.000,99;171.694.709,32
26000;MINISTERIO DA EDUCACAO;26231;UNIVERSIDADE FEDERAL DE ALAGOAS;;849.249.983,00;903.647.142,00;897.221.375,87;872.624.764,83;24.596.611,04;816.496.339,07
26000;MINISTERIO DA EDUCACAO;26232;UNIVERSIDADE FEDERAL DA BAHIA;;1.500.958.820,00;1.593.897.168,00;1.579.833.229,22;1.560.976.257,42;18.856.971,80;1.455.636.227,19
26000;MINISTERIO DA EDUCACAO;26233;UNIVERSIDADE FEDERAL DO CEARA;;1.372.774.627,00;1.387.087.905,00;1.363.786.838,10;1.335.651.467,56;28.135.370,54;1.248.914.474,87
26000;MINISTERIO DA EDUCACAO;26234;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;;988.320.743,00;1.034.981.153,00;1.014.240.864,75;926.427.841,83;87.813.022,92;865.949.600,41
26000;MINISTERIO DA EDUCACAO;26235;UNIVERSIDADE FEDERAL DE GOIAS;;1.199.312.543,00;1.312.571.402,00;1.277.087.123,99;1.258.794.979,24;18.292.144,75;1.174.607.178,50
26000;MINISTERIO DA EDUCACAO;26236;UNIVERSIDADE FEDERAL FLUMINENSE;;1.902.718.601,00;2.007.288.768,00;1.989.042.149,88;1.970.730.812,48;18.311.337,40;1.843.207.435,44
26000;MINISTERIO DA EDUCACAO;26237;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;;942.838.803,00;978.115.646,00;969.159.588,94;869.634.069,59;99.525.519,35;820.047.876,09
26000;MINISTERIO DA EDUCACAO;26238;UNIVERSIDADE FEDERAL DE MINAS GERAIS;;1.945.832.801,00;2.043.351.186,00;2.023.753.121,75;1.993.208.376,68;30.544.745,07;1.866.965.899,67
26000;MINISTERIO DA EDUCACAO;26239;UNIVERSIDADE FEDERAL DO PARA;;1.285.472.215,00;1.386.632.355,00;1.350.103.365,78;1.320.204.283,56;29.899.082,22;1.240.029.747,84
26000;MINISTERIO DA EDUCACAO;26240;UNIVERSIDADE FEDERAL DA PARAIBA;;1.599.300.212,00;1.684.129.860,00;1.662.749.924,44;1.618.959.638,25;43.790.286,19;1.490.767.896,32
26000;MINISTERIO DA EDUCACAO;26241;UNIVERSIDADE FEDERAL DO PARANA;;1.478.353.306,00;1.543.518.943,00;1.530.491.842,12;1.498.104.820,56;32.387.021,56;1.406.119.931,30
26000;MINISTERIO DA EDUCACAO;26242;UNIVERSIDADE FEDERAL DE PERNAMBUCO;;1.514.467.993,00;1.563.500.200,00;1.548.209.286,04;1.516.249.056,87;31.960.229,17;1.417.811.447,98
26000;MINISTERIO DA EDUCACAO;26243;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;;1.537.254.333,00;1.619.971.419,00;1.601.017.287,03;1.547.790.681,27;53.226.605,76;1.437.349.533,01
26000;MINISTERIO DA EDUCACAO;26244;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;;1.784.268.056,00;1.880.133.319,00;1.867.677.132,68;1.860.089.227,29;7.587.905,39;1.747.913.572,11
26000;MINISTERIO DA EDUCACAO;26245;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;;3.150.322.428,00;3.287.169.233,00;3.234.035.620,57;3.216.530.254,81;17.505.365,76;3.015.912.210,71
26000;MINISTERIO DA EDUCACAO;26246;UNIVERSIDADE FEDERAL DE SANTA CATARINA;;1.450.340.121,00;1.535.330.528,00;1.522.838.903,05;1.497.428.343,50;25.410.559,55;1.398.867.138,76
26000;MINISTERIO DA EDUCACAO;26247;UNIVERSIDADE FEDERAL DE SANTA MARIA;;1.169.209.052,00;1.244.247.495,00;1.230.206.211,87;1.208.897.838,16;21.308.373,71;1.133.847.480,95
26000;MINISTERIO DA EDUCACAO;26248;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;;615.121.578,00;680.725.480,00;648.183.598,71;625.689.319,65;22.494.279,06;585.123.939,74
26000;MINISTERIO DA EDUCACAO;26249;UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO;;723.468.053,00;720.620.416,00;670.863.196,54;646.657.070,24;24.206.126,30;601.603.375,49
26000;MINISTERIO DA EDUCACAO;26250;UNIVERSIDADE FEDERAL DE RORAIMA;;218.647.270,00;227.306.411,00;223.771.078,36;201.140.688,30;22.630.390,06;188.142.268,47
26000;MINISTERIO DA EDUCACAO;26251;FUNDACAO UNIVERSIDADE FEDERAL DE TOCANTINS;;360.184.591,00;358.416.821,00;355.551.554,70;329.743.013,65;25.808.541,05;308.805.808,17
26000;MINISTERIO DA EDUCACAO;26252;UNIVERSIDADE FEDERAL DE CAMPINA GRANDE;;655.922.286,00;692.659.990,00;682.674.883,84;646.592.233,99;36.082.649,85;594.027.875,72
26000;MINISTERIO DA EDUCACAO;26253;UNIVERSIDADE FEDERAL RURAL DA AMAZONIA;;215.014.272,00;249.339.945,00;247.272.276,33;235.428.733,92;11.843.542,41;221.796.132,33
26000;MINISTERIO DA EDUCACAO;26254;UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO;;353.005.344,00;377.270.915,00;371.452.854,08;359.981.826,89;11.471.027,19;339.005.944,73
26000;MINISTERIO DA EDUCACAO;26255;UNIVERSIDADE FED.VALES JEQUITINHONHA E MUCURI;;242.777.884,00;269.602.665,00;265.409.179,92;261.812.018,69;3.597.161,23;246.629.409,86
26000;MINISTERIO DA EDUCACAO;26256;CENTRO FED.DE EDUC.TECNOL.CELSO S.DA FONSECA;;389.399.135,00;417.406.345,00;412.229.975,84;398.422.441,61;13.807.534,23;367.218.291,41
26000;MINISTERIO DA EDUCACAO;26257;CENTRO FED.DE EDUC.TECNOL.DE MINAS GERAIS;;442.542.120,00;466.906.440,00;459.071.154,16;444.994.439,10;14.076.715,06;409.051.345,40
26000;MINISTERIO DA EDUCACAO;26258;UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA;;950.447.259,00;997.188.113,00;990.896.620,31;924.344.818,22;66.551.802,09;858.300.015,33
26000;MINISTERIO DA EDUCACAO;26260;UNIVERSIDADE FEDERAL DE ALFENAS;;214.176.395,00;228.357.433,00;225.453.828,65;218.625.191,58;6.828.637,07;204.318.876,52
26000;MINISTERIO DA EDUCACAO;26261;UNIVERSIDADE FEDERAL DE ITAJUBA - MG;;221.599.499,00;233.769.458,00;230.548.129,73;214.795.575,62;15.752.554,11;199.962.930,90
26000;MINISTERIO DA EDUCACAO;26262;UNIVERSIDADE FEDERAL DE SAO PAULO;;926.383.295,00;999.610.394,00;987.845.475,83;977.837.615,05;10.007.860,78;921.300.141,50
26000;MINISTERIO DA EDUCACAO;26263;UNIVERSIDADE FEDERAL DE LAVRAS;;351.241.667,00;379.148.790,00;370.205.151,88;360.122.422,29;10.082.729,59;334.429.224,13
26000;MINISTERIO DA EDUCACAO;26264;UNIVERSIDADE FEDERAL RURAL DO SEMI-ARIDO;;282.709.106,00;291.366.592,00;288.151.142,03;273.444.975,09;14.706.166,94;254.781.033,77
26000;MINISTERIO DA EDUCACAO;26266;FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA;;294.177.319,00;314.757.307,00;312.225.760,09;297.086.473,66;15.139.286,43;278.367.879,67
26000;MINISTERIO DA EDUCACAO;26267;UNIVERS. FEDERAL DA INTEG. LATINO AMERICANA;;156.929.547,00;170.810.979,00;162.598.395,95;152.034.902,51;10.563.493,44;143.768.236,69
26000;MINISTERIO DA EDUCACAO;26268;FUNDACAO UNIVERSIDADE FEDERAL DE RONDONIA;;270.402.742,00;289.952.888,00;286.199.032,78;275.346.634,99;10.852.397,79;258.080.878,09
26000;MINISTERIO DA EDUCACAO;26269;UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO;;403.469.437,00;443.576.878,00;439.078.278,78;426.459.922,85;12.618.355,93;401.033.721,60
